"","CYT","IS","IPS","impres"
"TCGA-EB-A4IQ",-0.60561478802002,-1.05575551895892,-0.234948393770055,-1.62278202862369
"TCGA-EB-A4IS",0.382088445591818,1.50084445998482,1.60601710261996,0.713370623321152
"TCGA-EB-A4OY",-0.478164550318682,-0.0718518906987524,0.685534354424955,0.713370623321152
"TCGA-EB-A4OZ",0.198355335810554,1.44661355134056,1.60601710261996,1.49208817396943
"TCGA-EB-A4XL",-0.38489207514476,0.234165379508149,-0.234948393770055,-0.844064477975408
"TCGA-EB-A550",-0.576264709128281,-0.513446432516306,0.685534354424955,-1.62278202862369
"TCGA-EB-A551",1.32453688312005,1.3691408247059,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A553",-0.553505566844804,-0.556056432165368,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A57M",-0.45996200089228,-0.358500979246989,-0.234948393770055,0.713370623321152
"TCGA-EB-A5FP",-0.611009942657931,-1.21457460855997,-1.15543114196506,-0.844064477975408
"TCGA-EB-A5KH",-0.618326976391334,-1.06737642795411,-1.15543114196506,-0.0653469273271279
"TCGA-EB-A5SE",-0.514248065737475,-0.66451824945389,0.685534354424955,-1.62278202862369
"TCGA-EB-A5SF",-0.638419182397426,-1.14872279092051,-0.234948393770055,-0.844064477975408
"TCGA-EB-A5SG",3.54203281167573,1.90370263848504,-0.234948393770055,0.713370623321152
"TCGA-EB-A5SH",-0.555266852686162,-0.350753706583523,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A5UL",0.123902620257493,0.524688104388119,0.685534354424955,0.713370623321152
"TCGA-EB-A5UM",-0.289595233450901,0.567298104037181,1.60601710261996,0.713370623321152
"TCGA-EB-A5UN",-0.44383132440754,-0.749738248752015,-0.234948393770055,-1.62278202862369
"TCGA-EB-A5VU",-0.592388156582768,-1.17971188157437,-1.15543114196506,-0.844064477975408
"TCGA-EB-A6L9",-0.00428950366330775,1.34977264304723,0.685534354424955,0.713370623321152
"TCGA-EB-A6QY",-0.570219810195187,-0.997650973982922,-1.15543114196506,-0.0653469273271279
"TCGA-EB-A6QZ",-0.609214989744357,-0.920178247348264,0.685534354424955,-1.62278202862369
"TCGA-EB-A6R0",0.490543233924945,1.50084445998482,1.60601710261996,-0.0653469273271279
"TCGA-EB-A82B",-0.216364074918309,1.10185991781633,0.685534354424955,0.713370623321152
"TCGA-EB-A82C",-0.615796083663991,-1.01701915564159,0.685534354424955,-0.0653469273271279
